id,intent,tone,conf
52931,SocialFragility,Factual,0.28317792626457633
52932,SocialFragility,Sensationalist,0.42688215773898797
52933,Economic,Alarmist,0.380153307798006
52934,Economic,Alarmist,0.380153307798006
53262,SocialFragility,Factual,0.39008622992597053
53263,Economic,Cynical,0.3660479564606337
53264,SocialFragility,Factual,0.7025548507711946
53265,SocialFragility,Factual,0.6659028624468256
53266,Economic,Factual,0.5013718412084089
53224,Economic,Factual,0.35152450088472387
53399,SocialFragility,Sensationalist,0.6681935615242156
53398,SocialFragility,Sensationalist,0.7199895670311023
53397,SocialFragility,Factual,0.4260144698825406
53396,Economic,Sensationalist,0.41583260893821716
53395,Economic,Sensationalist,0.439530092831639
53394,Economic,Sensationalist,0.5023955751732473
53393,Economic,Sensationalist,0.4023050367832184
53392,Economic,Cynical,0.38753144182992494
53391,Economic,Sensationalist,0.4165342450141907
53390,Economic,Factual,0.4065560479709395
53223,SocialFragility,Cynical,0.47626029253139945
52925,Economic,Alarmist,0.353909296854832
52924,Economic,Cynical,0.3725489798359289
52923,SocialFragility,Alarmist,0.4136641982669281
52922,SocialFragility,Sensationalist,0.5033400332509984
52920,SocialFragility,Alarmist,0.39720123869955015
52945,SocialFragility,Sensationalist,0.3323891153882221
53340,Economic,Alarmist,0.41537371197113715
53339,Economic,Cynical,0.3503413122657038
53200,Economic,Factual,0.4638949145975375
53182,Sovereignty,Alarmist,0.6643743666023321
53183,Sovereignty,Alarmist,0.6643743666023321
52944,SocialFragility,Alarmist,0.35791405990289893
52943,Economic,Alarmist,0.380153307798006
52942,Economic,Alarmist,0.380153307798006
53409,Economic,Factual,0.574275685769449
53408,Economic,Factual,0.3665241335796219
53267,SocialFragility,Sensationalist,0.3972495198249817
53406,Economic,Factual,0.43732706943080774
52949,SocialFragility,Alarmist,0.36236403210467777
53271,SocialFragility,Alarmist,0.6451403683196049
53405,SocialFragility,Factual,0.471586009164093
53184,SocialFragility,Sensationalist,0.4312129694657066
53270,SocialFragility,Factual,0.678098683468456
53269,Economic,Factual,0.7041418014820152
53341,Economic,Alarmist,0.4363268702606294
53404,Economic,Sensationalist,0.4065478444099426
52946,SocialFragility,Factual,0.48652011531398126
52947,Economic,Alarmist,0.4181327227495516
52948,SocialFragility,Alarmist,0.3113322032285816
53403,Economic,Factual,0.4140867471794037
53402,Economic,Factual,0.3047419497059422
53401,SocialFragility,Sensationalist,0.39518561455788176
53400,Economic,Factual,0.3643602586989886
53225,SocialFragility,Alarmist,0.36592192030256304
53268,Economic,Cynical,0.2922867736409489
53410,Economic,Cynical,0.354908205943953
53416,SocialFragility,Alarmist,0.4329567342693564
53415,SocialFragility,Sensationalist,0.5029662100382436
53414,SocialFragility,Alarmist,0.5171833545355724
53413,SocialFragility,Factual,0.34702611133827466
53412,SocialFragility,Alarmist,0.41798562351707397
53411,Economic,Factual,0.5108965023731864
52955,SocialFragility,Sensationalist,0.40207361342412673
52954,SocialFragility,Sensationalist,0.4822549151692738
52953,SocialFragility,Sensationalist,0.7193194136865603
52952,Other,neutral,0.0
52951,SocialFragility,Alarmist,0.525395665731712
52950,SocialFragility,Sensationalist,0.353257954120636
53272,SocialFragility,Sensationalist,0.3938103809266586
53273,Other,neutral,0.0
52963,Economic,Cynical,0.3241278679881524
52962,SocialFragility,Alarmist,0.46896490321796136
52961,SocialFragility,Alarmist,0.3557729195537689
52960,SocialFragility,Sensationalist,0.5028409383745689
52959,Economic,Alarmist,0.40246334085576785
52958,SocialFragility,Alarmist,0.46896490321796136
53345,SocialFragility,Sensationalist,0.40639166609450433
